,Unnamed: 0,policy_number,claim_number,make_x,Type,luxury_model,surveyorclassification,reapairer_type,type_of_claim,netlabmountsum,parts_net_amountsum,losscategory,amount_paid_y,year_month,product_code,model,pol_no,year_of_manufacture,Ageofthevehicle,addon_type
902503,1178948,HOP0558530000100,HP00040209,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,2935.84,6282.62,SmallLoss,10254.0,2018,VPC,Amaze,HOP0558530000100,2013,Greaterthan4years,DEP
902504,1178949,HOP0558530000100,PV00467219,HONDA,NHE_OEM,NHE,Internal,OTHERS,OEM,13157.0,0.0,SmallLoss,13868.0,2018,VPC,Amaze,HOP0558530000100,2013,Greaterthan4years,DEP
902505,1178950,HOP0570192000100,HP00043026,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10081.92,0.0,SmallLoss,10254.0,2018,VPC,City,HOP0570192000100,2016,Lessthan4years,DEP
902506,1178951,HOP0565379000100,HP00038084,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5376.67,2640.28,SmallLoss,10258.0,2018,VPC,Amaze,HOP0565379000100,2016,Lessthan4years,DEP
902507,1178952,HOP0565379000100,HP00035241,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,16210.25,7227.12,SmallLoss,26786.0,2018,VPC,Amaze,HOP0565379000100,2016,Lessthan4years,DEP
902508,1178953,HOP0585825000100,HP00034706,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7624.269999999999,1377.3,SmallLoss,10260.0,2018,VPC,City,HOP0585825000100,2015,Lessthan4years,DEP
902509,1178954,HOP0585825000100,HP00045641,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,13388.57,3226.59,SmallLoss,19499.0,2018,VPC,City,HOP0585825000100,2015,Lessthan4years,DEP
902510,1178955,HOP0585825000100,HP00038810,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,19939.05,14080.78,SmallLoss,42092.0,2018,VPC,City,HOP0585825000100,2015,Lessthan4years,DEP
902511,1178956,HOP0570795000100,HP00042691,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5640.4,3388.74,SmallLoss,10260.0,2018,VPC,Amaze 1.5 VX MT - Diesel,HOP0570795000100,2013,Greaterthan4years,DEP
902512,1178957,HOP0623605000100,HP00046470,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7682.98,1130.88,SmallLoss,9825.0,2019,VPC,Amaze 1.5 VX MT - Diesel,HOP0623605000100,2015,Lessthan4years,DEP
902513,1178958,HOP0634125000100,HP00043118,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7553.469999999999,1178.24,SmallLoss,9793.0,2018,VPC,City,HOP0634125000100,2016,Lessthan4years,DEP
902514,1178959,HOP0642098000100,HP00048612,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7553.77,1178.34,SmallLoss,9793.0,2019,VPC,City,HOP0642098000100,2014,Greaterthan4years,DEP
902515,1178960,HOP0602195000100,HP00041246,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7387.389999999999,1448.96,SmallLoss,10171.0,2018,VPC,All New City E MT,HOP0602195000100,2015,Lessthan4years,DEP
902516,1178961,HOP0551432000100,HP00036231,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,1770.0,7050.3,SmallLoss,10205.0,2018,VPC,BRV VX,HOP0551432000100,2017,Lessthan4years,DEP
902517,1178962,HOP0593438000100,HP00049036,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7758.5,1304.83,SmallLoss,10206.0,2019,VPC,All New Jazz V CVT,HOP0593438000100,2016,Lessthan4years,DEP
902518,1178963,HOP0592176000100,HP00044804,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7506.269999999999,1449.25,SmallLoss,10288.0,2018,VPC,All New City SV CVT,HOP0592176000100,2014,Lessthan4years,DEP
902519,1178964,HOP0605807000100,HP00045707,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7316.59,1546.24,SmallLoss,10296.0,2019,VPC,City,HOP0605807000100,2017,Lessthan4years,DEP
902520,1178965,HOP0590793000100,HP00049449,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10080.15,0.0,SmallLoss,10296.0,2019,VPC,Brio V,HOP0590793000100,2017,Lessthan4years,DEP
902521,1178966,HOP0613423000100,HP00048620,HONDA,NHE_OEM,NHE,External,DEALER,OEM,10157.0,0.0,SmallLoss,10297.0,2019,VPC,Amaze 1.5 VX MT - Diesel,HOP0613423000100,2018,Lessthan4years,DEP
902522,1178967,HOP0613423000100,HP00037905,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12879.7,0.0,SmallLoss,13241.0,2018,VPC,Amaze 1.5 VX MT - Diesel,HOP0613423000100,2018,Lessthan4years,DEP
902523,1178968,HOP0611297000100,HP00043325,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,9560.21,1905.81,SmallLoss,10298.0,2018,VPC,Amaze 1.5 VX MT - Diesel,HOP0611297000100,2013,Greaterthan4years,NONDEP
902524,1178969,HOP0622748000100,HP00040744,HONDA,NHE_OEM,NHE,External,DEALER,OEM,5472.25,5921.24,SmallLoss,10299.0,2018,VPC,Amaze,HOP0622748000100,2013,Greaterthan4years,NONDEP
902525,1178970,HOP0592992000100,HP00035828,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6740.75,1872.63,SmallLoss,10300.0,2018,VPC,City,HOP0592992000100,2018,Lessthan4years,DEP
902526,1178971,HOP0557474000100,HP00037790,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7565.27,1456.28,SmallLoss,10300.0,2018,VPC,All New Jazz V CVT,HOP0557474000100,2017,Lessthan4years,DEP
902527,1178972,HOP0600664000100,HP00048163,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,9853.0,1147.63,SmallLoss,9827.0,2019,VPC,Brio S,HOP0600664000100,2013,Greaterthan4years,NONDEP
902528,1178973,HOP0589773000100,HP00042603,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6974.389999999999,1511.68,SmallLoss,9829.0,2018,VPC,All New Jazz V CVT,HOP0589773000100,2016,Lessthan4years,DEP
902529,1178974,HOP0602209000100,HP00049563,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5891.15,2899.71,SmallLoss,10235.0,2019,VPC,Amaze,HOP0602209000100,2015,Lessthan4years,DEP
902530,1178975,HOP0583404000100,HP00035390,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10162.75,0.0,SmallLoss,10269.0,2018,VPC,City,HOP0583404000100,2017,Lessthan4years,DEP
902531,1178976,HOP0607712000100,HP00038315,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10148.0,0.0,SmallLoss,10269.0,2018,VPC,All New Jazz S MT,HOP0607712000100,2016,Lessthan4years,DEP
902532,1178977,HOP0607712000100,HP00038210,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,14764.75,7132.63,SmallLoss,23653.0,2018,VPC,All New Jazz S MT,HOP0607712000100,2016,Lessthan4years,DEP
902533,1178978,HOP0624698000100,HP00041416,HONDA,NHE_OEM,NHE,External,DEALER,OEM,10148.0,0.21,SmallLoss,10269.0,2018,VPC,City,HOP0624698000100,2016,Lessthan4years,DEP
902534,1178979,HOP0596073000100,HP00047258,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7552.59,1401.6,SmallLoss,10238.0,2019,VPC,City,HOP0596073000100,2017,Lessthan4years,DEP
902535,1178980,HOP0635659000100,HP00052010,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10074.25,0.0,SmallLoss,10272.0,2019,VPC,City ZX EXI,HOP0635659000100,2017,Lessthan4years,DEP
902536,1178981,HOP0584440000100,HP00049317,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7624.269999999999,1178.24,SmallLoss,9862.0,2019,VPC,City,HOP0584440000100,2014,Greaterthan4years,DEP
902537,1178982,HOP0584440000100,HP00049080,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12071.4,7178.06,SmallLoss,21300.0,2019,VPC,City,HOP0584440000100,2014,Greaterthan4years,DEP
902538,1178983,HOP0584440000100,HP00035069,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,25583.87,0.0,SmallLoss,27045.0,2018,VPC,City,HOP0584440000100,2014,Lessthan4years,DEP
902539,1178984,HOBL106806000100,HP00047568,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6629.24,1809.28,SmallLoss,9863.0,2019,VPC,All New Amaze 1.5 V,HOBL106806000100,2018,Lessthan4years,NONDEP
902540,1178985,HOP0625750000100,HP00051485,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5641.87,2196.7,SmallLoss,9863.0,2019,VPC,Amaze,HOP0625750000100,2018,Lessthan4years,DEP
902541,1178988,HOP0592987000100,HP00043223,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7624.269999999999,1409.28,SmallLoss,10325.0,2018,VPC,All New City VX CVT,HOP0592987000100,2015,Lessthan4years,DEP
902542,1178989,HOP0592987000100,HP00049838,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,15198.4,0.0,SmallLoss,15718.0,2019,VPC,All New City VX CVT,HOP0592987000100,2015,Lessthan4years,DEP
902543,1178990,HOP0584534000100,HP00046116,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11522.7,0.0,SmallLoss,10325.0,2019,VPC,City,HOP0584534000100,2018,Lessthan4years,NONDEP
902544,1178991,HOP0613788000100,HP00035184,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6785.0,1865.75,SmallLoss,10295.0,2018,VPC,All New City VX CVT,HOP0613788000100,2014,Lessthan4years,DEP
902545,1178992,HOP0589551000100,HP00046690,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,1829.0,8103.19,SmallLoss,10396.0,2019,VPC,All New City VX O Diesel,HOP0589551000100,2016,Lessthan4years,DEP
902546,1178993,HOP0564671000100,HP00040970,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8015.74,1178.24,SmallLoss,10302.0,2018,VPC,All New City VX O Diesel,HOP0564671000100,2015,Lessthan4years,DEP
902547,1178994,HOP0564671000100,HP00040623,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,25652.61,16197.56,SmallLoss,48507.0,2018,VPC,All New City VX O Diesel,HOP0564671000100,2015,Lessthan4years,DEP
902548,1178995,HOP0616846000100,HP00050107,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8346.14,1084.8,SmallLoss,10406.0,2019,VPC,Brio S,HOP0616846000100,2015,Lessthan4years,DEP
902549,1178996,HOP0635832000100,HP00047045,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11612.38,0.0,SmallLoss,10407.0,2019,VPC,City,HOP0635832000100,2009,Greaterthan4years,NONDEP
902550,1178997,HOP0592609000100,HP00049619,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6867.6,1607.68,SmallLoss,9861.0,2019,VPC,All New City S MT,HOP0592609000100,2014,Greaterthan4years,DEP
902551,1178998,HOP0634702000100,HP00044662,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8742.33,2273.19,SmallLoss,9862.0,2018,VPC,Amaze 1.5 EX MT - Diesel,HOP0634702000100,2013,Greaterthan4years,NONDEP
902552,1178999,HOP0609248000100,HP00051843,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7976.8,1178.24,SmallLoss,10269.0,2019,VPC,City,HOP0609248000100,2014,Greaterthan4years,DEP
902553,1179000,HOP0609248000100,HP00036725,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11487.3,2640.6,SmallLoss,16570.0,2018,VPC,City,HOP0609248000100,2014,Lessthan4years,DEP
902554,1179003,HOP0609729000100,HP00037303,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,1902.16,7258.530000000001,SmallLoss,10273.0,2018,VPC,Brio S,HOP0609729000100,2015,Lessthan4years,DEP
902555,1179004,HOP0609729000100,HP00042576,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11881.12,19474.16,SmallLoss,39179.0,2018,VPC,Brio S,HOP0609729000100,2015,Lessthan4years,DEP
902556,1179005,HOP0631172000100,HP00042494,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10334.89,0.0,SmallLoss,10311.0,2018,VPC,City,HOP0631172000100,2017,Lessthan4years,DEP
902557,1179006,HOP0593161000100,HP00035677,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,9891.79,0.0,SmallLoss,9899.0,2018,VPC,All New Jazz V CVT,HOP0593161000100,2018,Lessthan4years,DEP
902558,1179007,HOP0593161000100,HP00035680,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,15075.38,0.0,SmallLoss,15439.0,2018,VPC,All New Jazz V CVT,HOP0593161000100,2018,Lessthan4years,DEP
902559,1179008,HOP0593161000100,HP00047799,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,14372.85,5617.64,SmallLoss,20821.0,2019,VPC,All New Jazz V CVT,HOP0593161000100,2018,Lessthan4years,DEP
902560,1179009,HOP0627997000100,PV00507734,HONDA,NHE_OEM,NHE,Internal,OTHERS,OEM,8805.75,1125.12,SmallLoss,10431.0,2019,VPC,Amaze,HOP0627997000100,2014,Greaterthan4years,DEP
902561,1179010,HOP0560848000100,HP00040215,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7422.79,1295.06,SmallLoss,9898.0,2018,VPC,City,HOP0560848000100,2016,Lessthan4years,DEP
902562,1179011,HOP0560848000100,HP00040417,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,12962.3,0.0,SmallLoss,13454.0,2018,VPC,City,HOP0560848000100,2016,Lessthan4years,DEP
902563,1179012,HOP0630175000100,HP00047566,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5383.75,2457.09,SmallLoss,9898.0,2019,VPC,Brio V,HOP0630175000100,2014,Greaterthan4years,DEP
902564,1179013,HOP0583766000100,HP00035052,HONDA,NHE_OEM,NHE,External,DEALER,OEM,7447.269999999999,1283.46,SmallLoss,9899.0,2018,VPC,City,HOP0583766000100,2016,Lessthan4years,DEP
902565,1179014,HOP0588333000100,HP00035684,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7375.0,1527.26,SmallLoss,10306.0,2018,VPC,City,HOP0588333000100,2018,Lessthan4years,DEP
902566,1179015,HOBL100984000100,HP00044734,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7505.389999999999,1460.01,SmallLoss,10308.0,2018,VPC,City,HOBL100984000100,2018,Lessthan4years,NONDEP
